"provider_id","usdot","display_name","legal_name","dba_name","usdot_status","state","power_units","drivers","classification","reason_codes","conflicts","authority_rows","history_rows","insurance_rows","census_dockets","dba_display_pass","trace_pass"
"04f11cdb-02c0-5bbd-9f34-dac25bfb2838","2359884","TSANG BROTHERS CORP","TSANG BROTHERS CORP","","A","GU","8","6","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","0","true","true"
"01b9a338-5991-5830-baf0-7ca0f9de13ce","4141663","LET'S ENTERTAIN MAUI","LET'S ENTERTAIN MAUI","","A","HI","1","3","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","0","true","true"
"00c22dd8-daa9-5fc9-a3a1-117545348e31","4540001","MANUEL ENRIQUE LLORCA LEON","MANUEL ENRIQUE LLORCA LEON","","A","IA","1","1","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"01309752-3a84-56a6-8544-409d11cc7f01","4530110","ALFA DAWG TRANSPORTATION AND PILOT SERVICES LLC","ALFA DAWG TRANSPORTATION AND PILOT SERVICES LLC","","A","ID","2","2","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"0001098c-762a-5a23-aa2e-840f35c1e84c","1971627","ARROW TRANS CORP","ARROW TRANS CORP","","A","IL","147","134","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"0078dce8-edf8-5df9-9fac-45f8cc8a0cf1","4524771","D & Y LOGISTICS LLC","D & Y LOGISTICS LLC","","A","IN","1","1","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"1335dacd-3fa8-582a-868b-1f5bcfda47c0","2946400","ARCBEST","ARCBEST II, INC","ARCBEST","A","AR","0","","AUTHORIZED_BROKER","ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","4","4","5","0","true","true"
"256333b6-b9e2-5fc9-9c3e-e87c99c897f0","2227267","CLUTCH AUTO TRANSPORT LLC","CLUTCH AUTO TRANSPORT LLC","","A","AZ","0","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","2","2","1","1","true","true"
"2b1704eb-9455-5a1c-aead-b3c2f96b73ff","3982285","MBN TRANSPORTATION INC","MBN TRANSPORTATION INC","","A","CA","0","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","2","2","1","1","true","true"
"712a85bd-570c-5ee0-8db8-2671b082bedc","7654932","CargoCat AI","CargoCat AI","","A","CO","0","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","1","2","1","1","true","true"
"142ec055-1ca8-5070-9f0a-691e33a45229","9449573","TRUSTPOINT MOVING GROUP LLC","TRUSTPOINT MOVING GROUP LLC","","A","FL","0","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","1","2","1","1","true","true"
"6586cc33-74dd-5ff1-bb12-399ee80fd989","9752453","AMERICAN ASK4 LOGISTICS LLC","AMERICAN ASK4 LOGISTICS LLC","","A","GA","0","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","2","4","2","2","true","true"
"2efb2a15-064f-5c1b-806a-a7391bb6cb7d","2225580","SHIPPINGSOURCECOM INC","SHIPPINGSOURCECOM INC","","A","IA","0","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","2","2","1","1","true","true"
"0b73cd43-6be4-5fb3-9bf6-1f365578e03e","4790872","Road loader llc","Road loader llc","","A","IL","0","","AUTHORIZED_BROKER","ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","1","2","1","0","true","true"
"03666486-2b56-5523-be9d-277a2724cec9","688917","A RELOCATION SOLUTIONS MANAGEMENT LLC","A RELOCATION SOLUTIONS MANAGEMENT LLC","","A","IN","1","1","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","3","3","4","1","true","true"
"c5a723f4-41db-54b1-b2e7-ff83fa351134","1721418","J&J LOGISTICS","J&J DRIVEAWAY SYSTEMS LLC","J&J LOGISTICS","A","KS","0","","AUTHORIZED_BROKER","ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","2","4","1","0","true","true"
"547d825e-67b2-5ca9-ac1a-f8df2b66882d","559942","LAIDLAW CARRIERS BULK USA INC","LAIDLAW CARRIERS BULK USA INC","","A","MI","16","16","AUTHORIZED_BROKER","ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","MISSING_REQUIRED_CARGO_FILING,MISSING_REQUIRED_BIPD_FILING","4","6","3","0","true","true"
"0a804b38-f684-5d7d-8497-9aad38463274","2230613","ALLEGIANT MOVE MANAGEMENT LLC","ALLEGIANT MOVE MANAGEMENT LLC","","A","MO","0","","AUTHORIZED_BROKER","ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","2","2","2","0","true","true"
"c0d83466-23c7-59c6-ba08-e504429a5964","891665","MOCO TRANSPORTATION LLC","MOCO TRANSPORTATION LLC","","A","MS","3","4","AUTHORIZED_BROKER","ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","MISSING_REQUIRED_CARGO_FILING","4","4","2","0","true","true"
"124d6455-ffa4-5737-90c8-aa3e4821cfd1","3762743","K&K TRUCKING MONTANA LLC","K&K TRUCKING MONTANA LLC","","A","MT","33","26","AUTHORIZED_BROKER","ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","MISSING_REQUIRED_CARGO_FILING","4","5","2","0","true","true"
"112806d6-fe5c-5459-9e98-644d6f16a498","4270654","United American Logistics","AMERICAN UNITED LOGISTICS LLC","United American Logistics","A","ND","0","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","1","1","1","1","true","true"
"2bfd2edd-419b-518c-a000-0c08cfc09463","1667452","HANUL CORPORATION","HANUL CORPORATION","","A","NJ","12","12","AUTHORIZED_BROKER","ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","MISSING_REQUIRED_CARGO_FILING","4","9","2","0","true","true"
"b8bc4d9e-bebf-523d-b65e-83bae04a9bcc","98062","WELESKI TRANSFER INC","WELESKI TRANSFER INC","","A","PA","11","5","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","1","1","1","1","true","true"
"835830be-18f8-5304-a8e7-0ef1ba2ff8cd","632960","TRAFFIC TECH INC","TRAFFIC TECH INC","","A","QC","1","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","2","2","2","1","true","true"
"aae1faf9-7e13-5e61-b5d8-7efecac75398","7299590","Palmetto State Freight Partners LLC","Palmetto State Freight Partners LLC","","A","SC","0","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","1","2","1","1","true","true"
"ea934ba0-1d38-53db-bb0b-2eae46b1a243","4257560","CXS LOGISTICS INC","CXS LOGISTICS INC","","A","TN","0","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","2","2","1","1","true","true"
"057b5532-756e-587c-b231-d22229df0463","2221860","PREMIER FINAL MILE LOGISITICS","ALL AMERICAN WORLDWIDE INC","PREMIER FINAL MILE LOGISITICS","A","TX","0","","AUTHORIZED_BROKER","ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","2","2","1","0","true","true"
"8cf6a2f6-5577-518f-b15a-8b35235a1be3","2222803","JK BROKERAGE SERVICES","JK MOVING & STORAGE INC","JK BROKERAGE SERVICES","A","VA","0","","AUTHORIZED_BROKER","ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","2","2","2","0","true","true"
"49df9ad5-b3bd-54f4-96d7-aee4a678dea2","264184","SCHNEIDER NATIONAL CARRIERS INC","SCHNEIDER NATIONAL CARRIERS INC","","A","WI","9866","11335","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","MISSING_REQUIRED_BIPD_FILING","4","4","5","2","true","true"
"caa91045-2d61-5a99-80e2-fa92fac701e2","4565790","MOVE NATION LLC","MOVIE NATION LLC","MOVE NATION LLC","A","WY","0","","AUTHORIZED_BROKER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","1","2","1","1","true","true"
"1fd05c41-4d85-53a4-a14a-809774f575ce","2632086","U-PACK","MOVING SOLUTIONS INC","U-PACK","A","AR","0","","AUTHORIZED_BROKER","V1_KNOWN_PROVIDER,ACTIVE_USDOT,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","4","4","4","0","true","true"
"7e68a443-213a-5873-91dd-833f264329b1","80806","J B HUNT","J B HUNT TRANSPORT INC","J B HUNT","A","AR","25280","24116","DUAL_ROLE_CARRIER_BROKER","ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY,ACTIVE_BROKER_AUTHORITY,BROKER_BOND_REPORTED","","4","4","5","0","true","true"
